Literal Lemma,MariT sense,IWN sense,Gloss S. (WM),Total S.,T. Relation S.,Mariterm ID,ItalWN ID,Mariterm Gloss,ItalWN Gloss,MariTerm Relations,ItalWN Relations,bonus,malus,missing_relations,no_gloss_relations,bonus_relations
Agadir,1,1,0.0,0.0,0,NP#1013,NP#46238,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
agente marittimo,1,1,-0.04007003177577634,-0.37007003177577635,0,N#233,N#49494,rappresentante  in un porto  della compagnia di navigazione o dell armatore,[FALLBACK] chi compie determinati servizi per conto di altri.,"['has_hyperonym, lavoratore, chi lavora nel campo della navigazione e dei trasporti navali. (Score: 0.00)']","['has_hyperonym, agente, chi compie determinati servizi per conto di altri. (Score: 0.00)']",0,-0.33,['lavoratore'],[],[]
ala,1,3,0.05156269994380421,-0.2784373000561958,0,N#1920,N#11174,cavo per la manovra dell alaggio,nel calcio e in altri giochi di squadra  il giocatore che occupa la posizione all estremità destra o sinistra d attacco,"['has_hyperonym, corda, prodotto flessibile per legare e assicurare (Score: 0.00)']","['has_hyperonym, giocatore, atleta che pratica giochi sportivi. (Score: 0.00)']",0,-0.33,['corda'],[],[]
Alborg,1,1,0.0,0.0,0,NP#1014,NP#46082,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Algeri,1,1,0.0,0.0,0,NP#1015,NP#45623,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Alicante,1,1,0.0,0.0,0,NP#1016,NP#48451,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
allarme,1,2,0.061214170887196245,-0.5987858291128038,0,N#1882,N#14766,avviso di pericolo che può essere dato in diverse maniere un grido  un segnale acustico fischio  campana  etc,stato di profonda preoccupazione,"[""has_hyperonym, avvertimento, l'annunciare  l'avvertire  l'avvertire  informare  l'annunciare. (Score: 0.00)"", 'has_hyponym, allarme radio, avviso via radio per segnalare guasti  problemi o emergenze a bordo. (Score: 0.00)']","[""has_hyperonym, commozione, stato d'animo (Score: 0.00)""]",0,-0.66,"['avvertimento', 'allarme radio']",[],[]
allestimento,1,1,0.0,-0.33,0,N#957,N#8506,[FALLBACK] ,il preparare  atto del preparare o del prepararsi,"[""xpos_near_synonym, allestire, dotare un'imbarcazione di tutto ciò che è necessario per renderla adatta alla navigazione e all'ospitalità. (Score: 0.00)""]","['xpos_near_synonym, adattarsi, prepararsi  acconciarsi per qualcosa. (Score: 0.00)', ""xpos_near_synonym, approntare, disporre q.c. in modo che sia pronta all'uso. (Score: 0.00)"", 'xpos_near_synonym, mettere_a_punto, mettere a punto. (Score: 0.00)', 'has_hyperonym, sistemazione, atto del disporre. (Score: 0.00)', 'has_hyponym, imbandigione, No Gloss (Score: 0.00)', ""has_hyponym, messinscena, l'atto  l'effetto dell'allestire una messa in scena (Score: 0.00)""]",0,-0.33,['allestire'],[],[]
altostrato,1,1,0.0,-0.33,0,N#962,N#10670,nuvola grigia o azzurrognola velata  di media quota che spesso precede depressioni e cattivo tempo,formazione nuvolosa stratificata a grande altezza da terra,"[""has_hyperonym, nube, ammasso di vapori che si raccolgono nell'atmosfera (Score: 0.00)""]","['has_hyperonym, fenomeno_atmosferico, No Gloss (Score: 0.00)']",0,-0.33,['nube'],[],[]
alzare,2,5,0.0,-0.66,0,V#1845,V#33884,far salire  issare vele  bandiere  oggetti  alando una cima o con un paranco,nel linguaggio dei cacciatori  provocare l alzata di uno o più uccelli,"['has_hyperonym, issare, sollevare un peso o tirare una corda con sospeso un oggetto pesante (Score: 0.00)', 'has_hyponym, impavesare, alzare il pavese su una nave. (Score: 0.00)']","['has_hyperonym, provocare, essere causa di q.c. (Score: 0.00)']",0,-0.66,"['issare', 'impavesare']",[],[]
Amalfi,1,1,0.0,0.0,0,NP#2360,NP#46679,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Amburgo,1,1,0.0,0.0,0,NP#1202,NP#45586,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Americhe,1,1,0.0,0.0,0,NP#2629,NP#46204,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Amsterdam,1,1,0.0,0.0,0,NP#2418,NP#45739,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Anchorage,1,1,0.0,0.0,0,NP#1017,NP#45554,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Ancona,1,1,0.0,0.0,0,NP#2361,NP#48145,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
ancoraggio,2,1,0.046135533763374155,-0.28386446623662587,0,N#588,N#2747,luogo riparato dai venti dove un  imbarcazione può tenersi ferma con l ancora o trovare riparo in caso di mal tempo,lo scalo dove le navi sono ancorate,"['has_hyperonym, luogo, parte dello spazio occupata o occupabile materialmente o idealmente (Score: 0.00)']","['has_hyperonym, scalo, luogo in cui arrivano o da cui partono mezzi e passeggeri di aerei  navi  treni (Score: 0.00)']",0,-0.33,['luogo'],[],[]
Annaba,1,1,0.0,0.0,0,NP#1018,NP#48273,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Anversa,1,1,0.0,0.0,0,NP#2336,NP#46108,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
approdare,1,2,0.0,-0.33,0,V#337,V#35499,prendere terra  approdare,fig riuscire in ciò che ci si prefigge,"['has_hyperonym, manovrare, fare manovra  dirigere o modificare il movimento di una nave o di una imbarcazione. (Score: 0.00)']","[""xpos_near_synonym, approdo, l'approdare. (Score: 0.00)"", 'has_hyperonym, riescire, riuscire a fare qlco.  ottenere successo. (Score: 0.00)']",0,-0.33,['manovrare'],[],[]
Aqaba,1,1,0.0,0.0,0,NP#1019,NP#46659,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Arbatax,1,1,0.0,0.0,0,NP#1020,NP#46153,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
argano,1,1,0.06056186021915365,-0.5994381397808464,0,N#865,N#4568,apparato girevole utilizzato per moltiplicare lo sforzo di rotazione quano si devono tirare e avvolgere le cime,macchina per sollevare e spostare pesi,"['has_hyperonym, impianto, una apparecchiatura  dispositivo  insieme di congegni. (Score: 0.00)', ""has_hyponym, salpancore, argano o verricello utilizzarto per salpare  o affondare l'ancora. (Score: 0.00)""]","[""has_hyperonym, macchina, qualunque strumento elettrico o meccanico che assiste l'uomo nel suo lavoro. (Score: 0.00)"", 'has_hyponym, burbera, verricello azionato a mano  formato da un cilindro orizzontale su cui si avvolge una fune. (Score: 0.00)', 'has_hyponym, verricello, piccolo argano azionato a mano o a motore. (Score: 0.00)']",0,-0.66,"['impianto', 'salpancore']",[],[]
Arhus,1,1,0.0,0.0,0,NP#1021,NP#46370,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
equipaggiare,1,1,0.05368806747883356,-0.6063119325211664,0,V#702,V#37934,fornire un imbarcazione di tutto ciò che  in uomini e materiale  è necessario alla navigazione,[FALLBACK] dare a qlcu. ciò di cui ha bisogno o dotare qlco. di ciò di cui ha bisogno.,"['has_hyponym, armare, mettere una qualunque attrezzatura  della nave e/o imbarcazione in condizione di svolgere la propria funzione. (Score: 0.00)', 'has_hyponym, attrezzare, porre sulla coperta delle imbarcazioni cavi  cime accessorie e simili. (Score: 0.00)']","['xpos_near_synonym, equipaggiamento, procurare uomini mezzi e materiali ad una certa attività o impresa (Score: 0.00)', 'has_hyperonym, dare, dare a qlcu. ciò di cui ha bisogno o dotare qlco. di ciò di cui ha bisogno. (Score: 0.00)']",0,-0.66,"['armare', 'attrezzare']",[],[]
armo,1,1,0.07357474610589511,-0.2564252538941049,0,N#710,N#19709,l insieme di imbarcazione ed equipaggio per una regata specialmente nel canottaggio,equipaggio che gareggia nelle regate,"['has_hyperonym, insieme, la totalità  persone o animali o cose radunate insieme (Score: 0.00)']","['has_hyperonym, equipaggio, No Gloss (Score: 0.00)']",0,-0.33,['insieme'],[],[]
arrancare,1,1,0.11671773546032795,-0.21328226453967208,0,V#2236,V#39460,vogare con energia cercando di aumentare il ritmo,procedere con fatica,"[""has_hyperonym, remare, manovrare i remi o il remo di un'imbarcazione immergendoli ritmicamente nell'acqua in modo da far procedere l'imbarcazione stessa. (Score: 0.00)""]","['has_hyperonym, avanzare, andare avanti  proseguire il cammino. (Score: 0.00)']",0,-0.33,['remare'],[],[]
arsenalotto,1,1,-0.037385484530864155,-0.36738548453086417,0,N#2648,N#21668,operaio di un arsenale marittimo,[FALLBACK] chi lavora in una manifattura  chi fa lavori manuali alle dipendenze di qualcuno,"['has_hyperonym, operaio specializzato, No Gloss (Score: 0.00)']","['has_hyperonym, manifatturiere, chi lavora in una manifattura  chi fa lavori manuali alle dipendenze di qualcuno (Score: 0.00)']",0,-0.33,['operaio specializzato'],[],[]
Arzew,1,1,0.0,0.0,0,NP#1022,NP#48455,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Asia,1,1,0.0,0.0,0,NP#2630,NP#45965,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Assab,1,1,0.0,0.0,0,NP#1023,NP#47245,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
assetto,1,2,0.0633548122219654,-0.2666451877780346,0,N#777,N#6927,modo in cui i pesi sono distribuiti su un imbarcazione,buona ditribuzione dei pesi interni di una nave,"['has_hyperonym, situazione, condizione  in cui si trova una cosa o una persona  circostanza in cui si verifica un evento. (Score: 0.00)']","['has_hyperonym, distribuzione, disposizione in un certo assetto  disposizione in un assetto opportuno  il modo in cui le cose sono ordinate e distribuite (Score: 0.00)']",0,-0.33,['situazione'],[],[]
Astoria,1,1,0.0,0.0,0,NP#1024,NP#47828,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Atlantico,1,1,0.0,0.0,0,NP#2015,NP#46183,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
atto,1,5,0.0,-12.870000000000001,0,N#424,N#20874,l agire con intenzione,dichiarazione  espressione scritta o orale,"['has_hyponym, abbordaggio, urto volontario o collisione accidentale tra imbarcazioni (Score: 0.00)', ""has_hyponym, affondamento, il mandare a fondo  lo spingere qc. sotto l'acqua. (Score: 0.00)"", ""has_hyponym, alaggio, operazione con cui si mette a secco un'imbarcazione per mezzo di gru  scivoli  o altro. (Score: 0.00)"", 'has_hyponym, approvvigionamento, fare scorta ed imbarcare acqua  viveri  etc.. (Score: 0.00)', 'has_hyponym, attività, atto compiuto per uno scopo (Score: 0.00)', ""has_hyponym, avvertimento, l'annunciare  l'avvertire  l'avvertire  informare  l'annunciare. (Score: 0.00)"", 'has_hyponym, cambio di rotta, Variazione della direzione per seguire una nuova rotta.  (Score: 0.00)', 'has_hyponym, carenaggio, pulizia e pitturazione della carena. (Score: 0.00)', ""has_hyponym, carico, l'atto del caricare (Score: 0.00)"", 'has_hyponym, cessione, atto del cedere qualcosa a qualcuno  trasferendone la proprietà (Score: 0.00)', ""has_hyponym, comando, l'atto del comandare (Score: 0.00)"", 'has_hyponym, consegna, atto del consegnare. (Score: 0.00)', 'has_hyponym, detrazione, riduzione di una somma da pagare (Score: 0.00)', 'has_hyponym, diramazione, No Gloss (Score: 0.00)', 'has_hyponym, giro di bitta, Modo per legare una catena o una cima ad una bitta. (Score: 0.00)', 'has_hyponym, giro di bussola, Operazione che si deve compiere per la compensazione magnetica delle bussole di bordo.   (Score: 0.00)', ""has_hyponym, imballo, l'imballare (Score: 0.00)"", ""has_hyponym, inferitura, l'atto di inferire una vela. (Score: 0.00)"", 'has_hyponym, liquidazione, il pagamento di somme dovute  atto del pagare. (Score: 0.00)', 'has_hyponym, manovra, azione o insieme di azioni per dirigere o modificare il movimento di una nave o di una imbarcazione. Per effettuare una manovra si utilizzano il timone  le ancore ed il sistema di propulsione (motore ed eliche) oppure le vele nei velieri. (Score: 0.00)', 'has_hyponym, naufragio, incidente marittimo per cui una nave affonda o va distrutta (Score: 0.00)', 'has_hyponym, navigazione, il navigare. (Score: 0.00)', 'has_hyponym, noleggio, il noleggiare. (Score: 0.00)', 'has_hyponym, noleggio a scafo nudo, No Gloss (Score: 0.00)', 'has_hyponym, noleggio a tempo, No Gloss (Score: 0.00)', 'has_hyponym, noleggio a viaggio, No Gloss (Score: 0.00)', 'has_hyponym, nolo, il noleggiare (Score: 0.00)', ""has_hyponym, partecipazione, l'atto di comunicare  partecipare  l'atto del comunicare. (Score: 0.00)"", 'has_hyponym, partenza, il momento in cui un veicolo  spec. un mezzo di trasporto collettivo  si mette in movimento: la partenza della navetta. (Score: 0.00)', 'has_hyponym, pesata, No Gloss (Score: 0.00)', 'has_hyponym, pesca, il pescare. (Score: 0.00)', 'has_hyponym, prenotazione, atto del prenotare o del prenotarsi. (Score: 0.00)', 'has_hyponym, remata, colpo di remo. (Score: 0.00)', 'has_hyponym, salvamento, complesso di operazioni per salvarechi è in pericolo (Score: 0.00)', ""has_hyponym, sdoganamento, l'atto di svincolare la merce trattenuta in dogana pagandone i diritti doganali. (Score: 0.00)"", 'has_hyponym, stivaggio, operazione dello stivare. (Score: 0.00)', 'has_hyponym, taglio delle vele, No Gloss (Score: 0.00)', 'has_hyponym, trasporto, No Gloss (Score: 0.00)', ""has_hyponym, varo, l'azione del varare una nave o altro tipo di imbarcazione. (Score: 0.00)""]","[""has_hyperonym, espressione, atto  effetto dell'esprimere. (Score: 0.00)""]",0,-12.870000000000001,"['abbordaggio', 'affondamento', 'alaggio', 'approvvigionamento', 'attività', 'avvertimento', 'cambio di rotta', 'carenaggio', 'carico', 'cessione', 'comando', 'consegna', 'detrazione', 'diramazione', 'giro di bitta', 'giro di bussola', 'imballo', 'inferitura', 'liquidazione', 'manovra', 'naufragio', 'navigazione', 'noleggio', 'noleggio a scafo nudo', 'noleggio a tempo', 'noleggio a viaggio', 'nolo', 'partecipazione', 'partenza', 'pesata', 'pesca', 'prenotazione', 'remata', 'salvamento', 'sdoganamento', 'stivaggio', 'taglio delle vele', 'trasporto', 'varo']",[],[]
attraccare,1,1,0.09042421401858962,-0.23957578598141038,0,V#227,V#39963,avvicinarsi ad una banchina o a un altra imbarcazione assicurandola con un ormeggio,approdare  avvicinarsi a riva,"['has_hyperonym, manovrare, fare manovra  dirigere o modificare il movimento di una nave o di una imbarcazione. (Score: 0.00)']","[""xpos_near_synonym, attracco, l'operazione di attracco e il luogo in cui si attracca. (Score: 0.00)"", 'has_hyperonym, avvicinarsi, andare vicino o più vicino. (Score: 0.00)']",0,-0.33,['manovrare'],[],[]
attrezzare,1,1,0.0,-0.99,0,V#925,V#39798,porre sulla coperta delle imbarcazioni cavi  cime accessorie e simili,fornire di attrezzi,"['near_synonym, armare, mettere una qualunque attrezzatura  della nave e/o imbarcazione in condizione di svolgere la propria funzione. (Score: 0.00)', 'has_hyperonym, armare, attrezzare un veliero in un determinato modo  per es. a cutter  a goletta  a sloop. (Score: 0.00)', ""has_hyperonym, equipaggiare, fornire un'imbarcazione di tutto ciò che  in uomini e materiale  è necessario alla navigazione. (Score: 0.00)""]","['has_hyperonym, dare, dare a qlcu. ciò di cui ha bisogno o dotare qlco. di ciò di cui ha bisogno. (Score: 0.00)', 'has_hyponym, ammattare, attrezzare una nave dotandola di alberi. (Score: 0.00)']",0,-0.99,"['armare', 'armare', 'equipaggiare']",[],[]
Augusta,1,1,0.0,0.0,0,NP#2362,NP#48530,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Australia,1,2,0.0,0.0,0,NP#2631,NP#48603,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
autorità,1,2,0.0,0.0,0,N#761,N#7722,persona o ente investito di una carica pubblica o di potere legittimo,professionista insigne per capacità e fama,[],"[""near_synonym, big, uomo di rilievo nell'ambito della cultura  della politica o dell'arte. (Score: 0.00)"", 'near_synonym, personalità, persona ragguardevole per fama  prestigio  autorità. (Score: 0.00)', 'has_hyperonym, uomo, essere umano (Score: 0.00)']",0,0,[],[],[]
autotreno,1,1,-0.1,-0.43000000000000005,0,N#590,N#8749,camion con rimorchio,[FALLBACK] grande autotreno o autoarticolato adibito al trasporto internazionale di merci.,"['has_hyponym, TIR, Grande autotreno o autoarticolato abilitato e adibito al trasporto internazionale di merci. (Score: 0.00)']","['has_hyperonym, autocarro, veicolo che trasporta merci (Score: 0.00)', 'has_hyponym, tir, grande autotreno o autoarticolato adibito al trasporto internazionale di merci. (Score: 0.00)']",0,-0.33,['TIR'],[],[]
avamporto,1,1,-0.1,-0.43000000000000005,0,N#620,N#19154,zona di mare antistante l entrata del porto  in genere protetta da dighe foranee,[FALLBACK] cosa costruita,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)']","['has_hyperonym, struttura, cosa costruita (Score: 0.00)']",0,-0.33,['parte'],[],[]
avviso,2,3,0.0,-0.99,0,N#295,N#6777,avvertimento normalmente emesso dalle stazioni radio marittime o riportato in apposite pubblicazioni,parere  opinione,"[""has_hyperonym, avvertimento, l'annunciare  l'avvertire  l'avvertire  informare  l'annunciare. (Score: 0.00)"", ""has_hyponym, avviso ai naviganti, pubblicazioni realizzate da istituti specializzati (in Italia l'Istituto Idrografico della Marina) che riportano informazioni utili alla navigazione. (Score: 0.00)"", 'has_hyponym, avviso di tempesta, avvertimento trasmesso via radio o nota scritta che riporta lecaratteristiche di una situazione di peggioramento del tempo in una determinata zona. (Score: 0.00)']","['has_hyperonym, teoria, opinione  modo di vedere  punto di vista  parere su qualcosa (Score: 0.00)']",0,-0.99,"['avvertimento', 'avviso ai naviganti', 'avviso di tempesta']",[],[]
bacino,1,6,0.0,-0.99,0,N#714,N#21994,spazio portuale  specchio d acqua marina delimitato da moli o banchine,la zona che accoglie il letto di un fiume,"['has_hyperonym, luogo, parte dello spazio occupata o occupabile materialmente o idealmente (Score: 0.00)', 'has_hyponym, bacino, spazio portuale delimitato da paratie stagne dove è possibile mettere in secca le navi. (Score: 0.00)', 'has_hyponym, darsena, parte interna del porto  dove le navi vengono riparate o custodite (Score: 0.00)']","['has_hyperonym, zona, una particolare regione geografica con proprie caratteristiche fisiche  naturali  culturali (Score: 0.00)']",0,-0.99,"['luogo', 'bacino', 'darsena']",[],[]
bagnasciuga,1,1,0.12160331478619012,-0.20839668521380988,0,N#976,N#5579,parte esterna dello scafo che sta a pelo dell acqua e che può essere bagnata o meno a seconda del carico e del moto ondoso,parte di uno scafo,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)']","['has_hyperonym, partizione, ciascuna delle porzioni o degli elementi in cui è diviso un tutto (Score: 0.00)']",0,-0.33,['parte'],[],[]
Baltimora,1,1,0.0,0.0,0,NP#1025,NP#45766,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
molo,1,1,0.0,-0.66,0,N#194,N#28444,costruzione che agevola l attracco delle imbarcazioni e  permette l imbarco e lo sbarco dei passeggeri e delle merci,opera portuale di difesa e approdo,"['has_hyperonym, struttura, cosa costruita (Score: 0.00)', 'has_hyponym, andana, banchina portuale. (Score: 0.00)']","['has_hyperonym, lavoro_murario, No Gloss (Score: 0.00)']",0,-0.66,"['struttura', 'andana']",[],[]
Banjul,1,1,0.0,0.0,0,NP#1026,NP#47733,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
barbetta,1,1,0.07644962318959062,-0.2535503768104094,0,N#873,N#29457,cima lunga e fine che si usa per ormeggiare o trainare una piccola imbarcazione ausiliaria,cavo per ormeggio o rimorchio,"['has_hyperonym, corda, prodotto flessibile per legare e assicurare (Score: 0.00)']","[""has_hyperonym, ormeggio, cavo o catena con cui si ormeggia un'imbarcazione. (Score: 0.00)""]",0,-0.33,['corda'],[],[]
Barcellona,1,1,0.0,0.0,0,NP#2152,NP#46890,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
barchetta,1,1,-0.05081180419469296,-0.710811804194693,0,N#2714,N#7348,legno appesantito  fissato a un estremità della sagola e lasciato in mare come punto di riferimento  usato per calcolare la velocità di una imbarcazione,[FALLBACK] piccola imbarcazione a remi a vela o a motore.,"['has_hyperonym, legno, termine generico per indicare il legname nelle sue diverse forme  molto usato per la costruzione del fasciame di scafi di piccole dimensioni  e per gli arredi. (Score: 0.00)', 'has_hyperonym, strumento nautico, utile per calcolare la posizione della nave e per tecniche e/o operazioni di navigazione. (Score: 0.00)']","['has_hyperonym, barca, piccola imbarcazione a remi a vela o a motore. (Score: 0.00)']",0,-0.66,"['legno', 'strumento nautico']",[],[]
Bari,1,1,0.0,0.0,0,NP#2363,NP#47310,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
barra,1,4,0.03748221720193078,-0.2925177827980692,0,N#99,N#7505,leva orizzontale fissata sulla testa del timone che trasmette alla pala il moto angolare,in particolare  la barriera che in un tribunale separa i giudici dagli imputati,"['has_hyperonym, parte, ciascuno degli elementi o delle parti in cui è diviso un tutto. (Score: 0.00)']","['has_hyperonym, sbarramento, qualcosa (materiale) che impedisce o intralcia.  ostacolo  impedimento. (Score: 0.00)']",0,-0.33,['parte'],[],[]
Barranquilla,1,1,0.0,0.0,0,NP#1027,NP#46481,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Barry,1,1,0.0,0.0,0,NP#1028,NP#48080,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
fondo,1,5,0.0,-0.66,0,N#188,N#1044,la parte bassa,materia depositata,"['has_hyponym, fondale, il fondo del mare (Score: 0.00)', 'has_hyponym, pagliolo, nelle navi indica qualunque tipo di pavimento  nelle imbarcazioni da diporto è lo strato di tavole di legno posto sul fondo con funzione di pavimento. (Score: 0.00)']","['xpos_near_synonym, depositarsi, No Gloss (Score: 0.00)', 'has_hyperonym, materia, insieme di molecole di aspetto omogeneo  dotate di limiti e proprietà ben definiti. (Score: 0.00)', 'has_hyponym, alluvione, deposito di materiali formato dalla corrente fluviale (Score: 0.00)', 'has_hyponym, arena, insieme incoerente di granuli (Score: 0.00)', 'has_hyponym, breccia, sedimento portato dalla corrente dei fiumi (Score: 0.00)', 'has_hyponym, concrezione, incrostazione dura o aggregazione di minerali  spec. precipitati da soluzione acquosa. (Score: 0.00)', 'has_hyponym, conoide, deposito alluvionale a forma di semicono (Score: 0.00)', 'has_hyponym, deiezione, deposito di materia trasportata dalle acque (Score: 0.00)', 'has_hyponym, feccia, fondo  deposito melmoso lasciato dai liquidi nei recipienti. (Score: 0.00)', 'has_hyponym, giacimento, No Gloss (Score: 0.00)', 'has_hyponym, incrostramento, No Gloss (Score: 0.00)', 'has_hyponym, letto, deposito di rocce sedimentarie (Score: 0.00)', 'has_hyponym, limo, deposito di argilla o di altri materiali (Score: 0.00)', 'has_hyponym, posa, sedimento nel vino (Score: 0.00)', 'has_hyponym, tartaro, deposito di concrezioni calcaree e flora batterica che si forma intorno al colletto dei denti (Score: 0.00)']",0,-0.66,"['fondale', 'pagliolo']",[],[]
Bassora,1,1,0.0,0.0,0,NP#1029,NP#46345,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Bastia,1,1,0.0,0.0,0,NP#1030,NP#46270,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
Baton_Rouge,1,1,0.0,0.0,0,NP#1031,NP#47019,[FALLBACK] ,[FALLBACK] ,[],[],0,0,[],[],[]
